9.323e-01,4.865e-01
9.867e-01,6.797e-01
5.014e-01,7.517e-01
5.710e-01,7.953e-01
5.829e-01,8.223e-01
4.129e-01,8.388e-01
3.227e-01,8.549e-01
2.877e-01,8.651e-01
3.018e-01,8.735e-01
2.784e-01,8.859e-01
2.674e-01,8.959e-01
2.479e-01,9.004e-01
3.312e-01,9.059e-01
1.464e-01,9.105e-01
3.850e-01,9.144e-01
1.463e-01,9.211e-01
3.789e-01,9.262e-01
2.434e-01,9.280e-01
2.169e-01,9.313e-01
2.520e-01,9.341e-01
2.111e-01,9.383e-01
3.437e-01,9.423e-01
2.807e-01,9.438e-01
2.048e-01,9.480e-01
1.766e-01,9.489e-01
4.408e-01,9.514e-01
8.486e-02,9.526e-01
1.183e-01,9.563e-01
1.342e-01,9.568e-01
4.515e-02,9.592e-01
1.862e-01,9.601e-01
1.528e-01,9.611e-01
6.811e-02,9.631e-01
1.239e-01,9.654e-01
3.822e-02,9.653e-01
9.706e-02,9.654e-01
7.895e-02,9.676e-01
6.779e-02,9.705e-01
1.649e-01,9.700e-01
1.227e-01,9.710e-01
4.879e-02,9.732e-01
5.961e-02,9.722e-01
1.338e-01,9.744e-01
3.426e-02,9.737e-01
5.862e-02,9.735e-01
7.005e-02,9.740e-01
4.946e-02,9.762e-01
1.208e-01,9.764e-01
1.648e-01,9.752e-01
4.134e-02,9.743e-01
9.685e-02,9.790e-01
1.549e-02,9.758e-01
1.960e-01,9.773e-01
2.290e-02,9.799e-01
1.425e-02,9.803e-01
2.207e-02,9.790e-01
2.806e-02,9.809e-01
1.309e-01,9.786e-01
7.594e-02,9.792e-01
6.543e-02,9.782e-01
4.798e-02,9.789e-01
6.865e-02,9.817e-01
5.766e-02,9.807e-01
4.803e-02,9.801e-01
7.600e-02,9.807e-01
1.207e-01,9.810e-01
1.112e-02,9.809e-01
2.521e-02,9.818e-01
1.075e-01,9.804e-01
3.294e-02,9.804e-01
6.825e-02,9.790e-01
2.874e-02,9.827e-01
7.698e-02,9.834e-01
8.373e-02,9.817e-01
7.868e-02,9.810e-01
