1.002e+00,1.278e+00,1.009e+00
7.539e-01,1.047e+00,8.664e-01
6.491e-01,1.248e+00,8.760e-01
4.972e-01,9.664e-01,6.742e-01
5.285e-01,8.559e-01,7.004e-01
4.407e-01,7.259e-01,4.749e-01
3.698e-01,6.671e-01,4.559e-01
6.912e-01,9.734e-01,6.448e-01
3.449e-01,8.200e-01,4.502e-01
2.770e-01,5.479e-01,3.230e-01
3.338e-01,8.038e-01,4.507e-01
1.253e-01,4.263e-01,2.232e-01
3.502e-01,7.253e-01,4.357e-01
1.899e-01,6.668e-01,2.622e-01
1.703e-01,4.577e-01,2.266e-01
2.191e-01,5.891e-01,2.901e-01
3.026e-01,6.348e-01,2.998e-01
1.519e-01,5.435e-01,2.374e-01
1.560e-01,7.015e-01,2.138e-01
1.436e-01,5.728e-01,1.610e-01
1.809e-01,3.803e-01,2.247e-01
7.600e-02,3.315e-01,1.050e-01
1.440e-01,6.070e-01,1.902e-01
7.751e-02,3.936e-01,1.444e-01
3.311e-01,6.321e-01,3.503e-01
1.489e-01,3.006e-01,1.848e-01
7.992e-02,5.092e-01,1.267e-01
1.215e-01,3.060e-01,8.055e-02
1.613e-01,5.208e-01,3.099e-01
1.590e-01,5.609e-01,2.732e-01
1.598e-01,4.694e-01,2.760e-01
9.153e-02,3.495e-01,1.390e-01
7.074e-02,4.687e-01,1.008e-01
1.338e-01,3.842e-01,1.916e-01
1.351e-01,4.842e-01,1.377e-01
7.197e-02,3.703e-01,1.245e-01
9.526e-02,4.729e-01,1.613e-01
8.560e-02,5.146e-01,1.208e-01
1.669e-01,4.140e-01,2.134e-01
5.574e-02,2.839e-01,8.218e-02
2.573e-01,6.183e-01,2.429e-01
5.959e-02,3.615e-01,7.331e-02
8.079e-02,4.138e-01,5.002e-02
6.815e-02,3.470e-01,1.595e-01
4.516e-02,3.926e-01,1.126e-01
1.166e-01,2.790e-01,1.573e-01
9.367e-02,2.190e-01,8.455e-02
6.054e-02,3.795e-01,5.533e-02
8.324e-02,3.949e-01,1.328e-01
3.443e-02,5.831e-01,1.314e-01
3.886e-02,3.932e-01,6.617e-02
7.398e-02,2.871e-01,9.653e-02
6.936e-02,4.006e-01,1.115e-01
1.507e-01,2.211e-01,9.898e-02
1.020e-01,5.397e-01,1.706e-01
5.774e-02,3.414e-01,6.719e-02
1.035e-01,3.773e-01,1.657e-01
5.399e-02,3.670e-01,7.928e-02
4.209e-02,2.537e-01,1.015e-01
1.122e-01,4.401e-01,1.250e-01
8.763e-02,3.272e-01,8.158e-02
1.148e-01,5.953e-01,1.589e-01
1.654e-01,4.852e-01,2.157e-01
4.150e-02,4.046e-01,9.663e-02
7.996e-02,5.267e-01,1.056e-01
9.560e-02,3.640e-01,9.045e-02
6.872e-02,5.190e-01,1.679e-01
9.926e-02,3.133e-01,1.586e-01
1.563e-02,4.200e-01,9.688e-02
1.685e-02,4.837e-01,8.862e-02
3.055e-02,3.148e-01,6.995e-02
1.424e-01,4.908e-01,1.528e-01
7.986e-02,3.932e-01,1.211e-01
7.999e-02,4.780e-01,1.275e-01
6.717e-02,2.789e-01,6.044e-02
